0842,Property_crime,25
0842,Sexua_harassment,2
0842,Violence1,
0842,Violence2,8
1355,Property_crime,54
1355,Sexua_harassment,2
1355,Violence1,4
1355,Violence2,20
1351,Property_crime,40
1351,Sexua_harassment,1
1351,Violence1,2
1351,Violence2,8
1334,Property_crime,52
1334,Sexua_harassment,3
1334,Violence2,16
1212,Property_crime,67
1212,Sexua_harassment,4
1212,Violence2,43
0136,Property_crime,106
0136,Sexua_harassment,5
0136,Violence1,1
0136,Violence2,32
1337,Property_crime,202
1337,Sexua_harassment,7
1337,Violence1,3
1337,Violence2,49
0826,Property_crime,58
0826,Sexua_harassment,3
0826,Violence1,
0826,Violence2,18
1214,Property_crime,47
1214,Sexua_harassment,1
1214,Violence2,11
0853,Property_crime,228
0853,Sexua_harassment,6
0853,Violence1,
0853,Violence2,74
2811,Property_crime,53
2811,Sexua_harassment,6
2811,Violence1,4
2811,Violence2,68
0522,Property_crime,33
0522,Sexua_harassment,2
0522,Violence2,9
0821,Property_crime,41
0821,Sexua_harassment,4
0821,Violence2,18
2511,Property_crime,259
2511,Sexua_harassment,8
2511,Violence1,11
2511,Violence2,317
2611,Property_crime,143
2611,Sexua_harassment,5
2611,Violence1,100
2611,Violence2,111
0533,Property_crime,30
0533,Sexua_harassment,
0533,Violence1,1
0533,Violence2,7
0125,Property_crime,56
0125,Sexua_harassment,2
0125,Violence1,2
0125,Violence2,17
1115,Property_crime,100
1115,Sexua_harassment,3
1115,Violence1,
1115,Violence2,19
2412,Property_crime,238
2412,Sexua_harassment,3
2412,Violence1,61
2412,Violence2,88
0823,Property_crime,49
0823,Sexua_harassment,1
0823,Violence1,3
0823,Violence2,22
1345,Property_crime,292
1345,Sexua_harassment,9
1345,Violence1,
1345,Violence2,92
0836,Property_crime,48
0836,Sexua_harassment,4
0836,Violence2,21
2112,Property_crime,263
2112,Sexua_harassment,9
2112,Violence1,36
2112,Violence2,168
1147,Property_crime,51
1147,Sexua_harassment,4
1147,Violence1,
1147,Violence2,9
2711,Property_crime,75
2711,Sexua_harassment,2
2711,Violence1,12
2711,Violence2,86
1221,Property_crime,31
1221,Sexua_harassment,4
1221,Violence1,1
1221,Violence2,21
2411,Property_crime,246
2411,Sexua_harassment,1
2411,Violence1,124
2411,Violence2,109
0541,Property_crime,128
0541,Sexua_harassment,6
0541,Violence1,57
0541,Violence2,17
2612,Property_crime,98
2612,Sexua_harassment,1
2612,Violence1,5
2612,Violence2,27
0914,Property_crime,235
0914,Sexua_harassment,5
0914,Violence1,6
0914,Violence2,65
0822,Property_crime,54
0822,Sexua_harassment,3
0822,Violence1,1
0822,Violence2,30
1634,Property_crime,49
1634,Sexua_harassment,5
1634,Violence1,
1634,Violence2,18
2211,Property_crime,208
2211,Sexua_harassment,6
2211,Violence1,64
2211,Violence2,126
1031,Property_crime,60
1031,Sexua_harassment,3
1031,Violence2,17
2111,Property_crime,96
2111,Sexua_harassment,5
2111,Violence1,20
2111,Violence2,57
0115,Property_crime,29
0115,Sexua_harassment,
0115,Violence1,
0115,Violence2,10
0841,Property_crime,148
0841,Sexua_harassment,16
0841,Violence2,63
1014,Property_crime,97
1014,Sexua_harassment,4
1014,Violence1,5
1014,Violence2,65
1632,Property_crime,81
1632,Sexua_harassment,6
