Latitude,Longitude,stat_area,party
31.768291,35.182884,1035,ג
31.768291,35.182884,1035,ג
31.768291,35.182884,1035,ג
31.766695,35.181523,1035,ג
31.763869,35.185162,1034,ג
31.765496,35.189055,1031,ג
31.765496,35.189055,1031,מחל
31.766379,35.182718,1035,ג
31.766695,35.181523,1035,ג
31.77704,35.190838,1013,אמת
31.777009,35.186142,1012,מחל
31.763869,35.185162,1034,ג
31.777009,35.186142,1012,אמת
31.777009,35.186142,1012,מחל
31.749723,35.169586,1144,מחל
31.749723,35.169586,1144,מחל
31.749723,35.169586,1144,מחל
31.795147,35.223385,532,ג
31.777009,35.186142,1012,מחל
31.754964,35.170872,1143,מחל
31.749723,35.169586,1144,מחל
31.749622,35.181808,1147,מחל
31.735573,34.979744,NULL,מחל
31.768319,35.21371,1312,מחל
31.768319,35.21371,1312,מחל
31.763046,35.177721,1124,מחל
31.768319,35.21371,1312,מחל
31.735573,34.979744,NULL,מחל
31.765491,35.174967,1123,מחל
31.768319,35.21371,1312,מחל
31.764316,35.177112,1124,קץ
31.763046,35.177721,1124,מחל
31.764316,35.177112,1124,אמת
31.765491,35.174967,1123,מחל
31.768319,35.21371,1312,מחל
31.764316,35.177112,1124,אמת
31.767081,35.162323,1115,אמת
31.767081,35.162323,1115,אמת
31.768319,35.21371,1312,מחל
31.735573,34.979744,NULL,מחל
31.756164,35.165514,1142,מחל
31.752765,35.172151,1143,מחל
31.76059,35.17121,1133,מחל
31.749723,35.169586,1144,מחל
31.76059,35.17121,1133,מחל
31.757517,35.176046,1132,מחל
31.760119,35.177148,1131,מחל
31.760119,35.177148,1131,אמת
31.768319,35.21371,1312,מחל
31.757517,35.176046,1132,מחל
31.753586,35.186917,1147,מחל
31.756195,35.165522,1142,מחל
31.756195,35.165522,1142,מחל
31.749622,35.181808,1147,מחל
31.768319,35.21371,1312,מחל
31.768319,35.21371,1312,מחל
31.756386,35.180533,1132,מחל
31.752765,35.172151,1143,מחל
31.768319,35.21371,1312,מחל
31.754964,35.170872,1143,מחל
31.763046,35.177721,1124,מחל
31.756411,35.183839,1042,מחל
31.756411,35.183839,1042,מחל
31.735573,34.979744,NULL,מחל
31.756411,35.183839,1042,אמת
31.756386,35.180533,1132,מחל
31.756411,35.183839,1042,מחל
31.768319,35.21371,1312,מחל
31.753586,35.186917,1147,מחל
31.756411,35.183839,1042,אמת
