 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,Address,Latitude,Longitude,מס מפלגה הכי נבחרת,מפלגה הכי נבחרת
ירושלים,3000,349,492,341,2,339,100,19,4,0,0,0,24,0,0,0,0,17,9,68,42,1,0,0,0,37,0,0,0,10,0,8,"שד שרת משה,1 ",31.756411,35.183839,1,אמת
ירושלים,3000,350,649,416,8,408,23,60,1,0,0,0,23,0,0,0,0,20,44,122,6,0,0,0,0,17,0,1,4,29,0,58,"שטרן אברהם,3 ",31.756386,35.180533,14,מחל
ירושלים,3000,351,514,400,0,400,62,5,1,0,0,1,28,0,0,0,0,34,3,173,11,0,0,0,0,57,0,0,6,6,0,13,"שד שרת משה,1 ",31.756411,35.183839,14,מחל
ירושלים,3000,352,607,423,4,419,41,71,1,0,0,0,41,0,0,0,0,24,10,82,14,0,0,0,0,16,0,0,6,57,0,56,"אולשוונגר,3 ",31.768319,35.21371,14,מחל
ירושלים,3000,353,668,510,3,507,94,2,2,0,0,0,34,0,0,0,0,40,11,194,24,0,0,0,0,75,0,1,7,8,0,15,"רקם,2 ",31.753586,35.186917,14,מחל
ירושלים,3000,354,645,453,7,446,138,16,0,0,0,0,34,0,0,0,0,29,10,91,49,1,0,0,0,51,0,0,5,14,1,7,"שד שרת משה,1 ",31.756411,35.183839,1,אמת
ירושלים,3000,355,568,410,2,408,147,1,3,0,0,0,13,0,0,0,0,30,6,89,65,0,0,0,0,45,0,0,4,0,1,4,"זנגויל,29 ",31.763046,35.177721,1,אמת
ירושלים,3000,356,673,450,2,448,28,1,2,0,0,0,27,0,0,0,0,29,38,204,8,0,0,0,0,33,0,0,5,24,0,49,"קוסטה ריקה,17 ",31.754964,35.170872,14,מחל
ירושלים,3000,357,663,454,5,449,39,10,2,0,0,0,31,0,0,0,0,31,34,171,11,1,0,0,0,36,0,0,9,24,1,49,"הנורית,18 ",31.752765,35.172151,14,מחל
ירושלים,3000,358,531,300,0,300,23,40,0,0,0,0,10,0,0,0,0,15,29,95,5,0,0,0,0,13,0,0,1,22,0,47,"גרינולד,8 ",31.757517,35.176046,14,מחל
